IBGE;q25_3;q25_8;q25_9;q25_10;q25_11;q25_12;q25_13;UF;Regiao;Q_incompleto;DataCenso;DataCenso_2022;Faixas_etarias;d25_8;d25_8bin1;d25_8bin2;d25_8bin3;d25_9;d25_9bin1;d25_9bin2;d25_9bin3;d25_9bin4;d25_9bin5;d25_10;d25_10bin1;d25_10bin2;d25_10bin3;d25_10bin4;d25_8bin1_sum;d25_8bin2_sum;d25_8bin3_sum;d25_9bin1_sum;d25_9bin2_sum;d25_9bin3_sum;d25_9bin4_sum;d25_9bin5_sum;d25_10bin1_sum;d25_10bin2_sum;d25_10bin3_sum;d25_10bin4_sum;nu_trabalhador
11;1;257;232;292;249;20;01/04/2021;11;1;0;31.08.2022;8/31/2022;2;2; ; ;1;4; ; ; ;1; ;3; ; ;1; ;0;1;6;0;1;0;2;0;0;1;6;0;7
11;2;257;232;292;249;18;08/09/2021;11;1;0;31.08.2022;8/31/2022;2;2; ; ;1;4; ; ; ;1; ;3; ; ;1; ;0;1;6;0;1;0;2;0;0;1;6;0;7
11;1;257;237;292;249;18;12/09/2016;11;1;0;31.08.2022;8/31/2022;2;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ;0;1;6;0;1;0;2;0;0;1;6;0;7
11;1;256;237;292;250;20;01/01/2019;11;1;0;31.08.2022;8/31/2022;2;1; ;1; ;8; ; ; ; ; ;3; ; ;1; ;0;1;6;0;1;0;2;0;0;1;6;0;7
11;2;257;416;292;254;18;12/09/2016;11;1;0;31.08.2022;8/31/2022;4;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ;0;1;6;0;1;0;2;0;0;1;6;0;7
11;2;257;235;292;389;20;01/01/2019;11;1;0;31.08.2022;8/31/2022;4;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ;0;1;6;0;1;0;2;0;0;1;6;0;7
11;2;257;273;139;21;20;01/01/2019;11;1;0;31.08.2022;8/31/2022;4;2; ; ;1;2; ;1; ; ; ;2; ;1; ; ;0;1;6;0;1;0;2;0;0;1;6;0;7
12;2;257;237;138;249;20; ;12;1;0;31.08.2022;8/31/2022;5;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;0;1;4;1;1;0;0;0;4;0;1;0;5
12;2;257;275;292;389;20; ;12;1;0;31.08.2022;8/31/2022;5;2; ; ;1;1;1; ; ; ; ;3; ; ;1; ;0;1;4;1;1;0;0;0;4;0;1;0;5
12;2;255;238;138;249;20; ;12;1;0;31.08.2022;8/31/2022;6;1; ;1; ;6; ; ; ; ; ;1;1; ; ; ;0;1;4;1;1;0;0;0;4;0;1;0;5
12;2;258;273;138;21;20; ;12;1;0;31.08.2022;8/31/2022;4;2; ; ;1;2; ;1; ; ; ;1;1; ; ; ;0;1;4;1;1;0;0;0;4;0;1;0;5
12;1;257;240;138;249;20; ;12;1;0;31.08.2022;8/31/2022;3;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;0;1;4;1;1;0;0;0;4;0;1;0;5
13;2;257;416;138;249;20; ;13;1;0;31.08.2022;8/31/2022;6;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;0;0;3;0;0;0;0;0;1;1;1;0;3
