IBGE;q85_3;q85_5;q85_6;q85_7;q85_8;q85_9;UF;Regiao;Q_incompleto;DataCenso;DataCenso_2020;Faixas_etarias;q85_8_rec;q85_9_rec;TempoMandato;d85_5;d85_5bin1;d85_5bin2;d85_5bin3;d85_6bin1;d85_6bin2;d85_6bin3;d85_6bin4;d85_6bin5;d85_6bin1_TIT;d85_6bin1_SUPL;d85_6bin2_TIT;d85_6bin2_SUPL;d85_6bin3_TIT;d85_6bin3_SUPL;d85_6bin4_TIT;d85_6bin4_SUPL;d85_6bin5_TIT;d85_6bin5_SUPL;d85_6bin1_sum;d85_6bin2_sum;d85_6bin3_sum;d85_6bin4_sum;d85_6bin5_sum;d85_6bin1_TIT_sum;d85_6bin1_SUPL_sum;d85_6bin2_TIT_sum;d85_6bin2_SUPL_sum;d85_6bin3_TIT_sum;d85_6bin3_SUPL_sum;d85_6bin4_TIT_sum;d85_6bin4_SUPL_sum;d85_6bin5_TIT_sum;d85_6bin5_SUPL_sum;nu_conselheiros
21;1;257;GO;106;26/06/2018;26/12/2020;21;2; ;31.08.2020;8/31/2020;5;6/26/2018;12/26/2020;3;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;5;6;2;13;13;3;2;4;2;2; ;6;7;9;4;26
21;1;257;GE;106;13/09/2017;26/12/2020;21;2; ;31.08.2020;8/31/2020;4;9/13/2017;12/26/2020;3;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;5;6;2;13;13;3;2;4;2;2; ;6;7;9;4;26
11;2;253;GO;105;03/05/2019;03/05/2021;11;1; ;31.08.2020;8/31/2020;3;5/3/2019;5/3/2021;2;0;1; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;6;5;5;12;16;3;3;3;2;2;3;5;7;8;8;28
11;2;257;GO;106;24/04/2020;03/05/2021;11;1; ;31.08.2020;8/31/2020;1;4/24/2020;5/3/2021;1;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;6;5;5;12;16;3;3;3;2;2;3;5;7;8;8;28
11;1;258;O;105;03/05/2019;05/05/2021;11;1; ;31.08.2020;8/31/2020;5;5/3/2019;5/5/2021;2;2; ; ;1;1; ; ; ;1;1; ; ; ; ; ; ; ;1; ;6;5;5;12;16;3;3;3;2;2;3;5;7;8;8;28
11;1;255;E;105;03/05/2019;03/05/2021;11;1; ;31.08.2020;8/31/2020;3;5/3/2019;5/3/2021;2;1; ;1; ; ;1; ; ;1; ; ;1; ; ; ; ; ;1; ;6;5;5;12;16;3;3;3;2;2;3;5;7;8;8;28
11;2;253;U;105;03/05/2019;03/05/2021;11;1; ;31.08.2020;8/31/2020;5;5/3/2019;5/3/2021;2;0;1; ; ;1; ; ; ;1;1; ; ; ; ; ; ; ;1; ;6;5;5;12;16;3;3;3;2;2;3;5;7;8;8;28
11;2;260;T;20;03/05/2019;03/05/2021;11;1; ;31.08.2020;8/31/2020;2;5/3/2019;5/3/2021;2;2; ; ;1; ; ;1; ;1; ; ; ; ;1; ; ; ;1; ;6;5;5;12;16;3;3;3;2;2;3;5;7;8;8;28
11;2;257;E;105;04/03/2020;03/05/2021;11;1; ;31.08.2020;8/31/2020;5;3/4/2020;5/3/2021;1;2; ; ;1; ;1; ; ;1; ; ;1; ; ; ; ; ;1; ;6;5;5;12;16;3;3;3;2;2;3;5;7;8;8;28
11;1;260;GO;308;03/05/2019;03/05/2021;11;1; ;31.08.2020;8/31/2020;5;5/3/2019;5/3/2021;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;6;5;5;12;16;3;3;3;2;2;3;5;7;8;8;28
11;1;258;GE;106;03/05/2019;03/05/2021;11;1; ;31.08.2020;8/31/2020;4;5/3/2019;5/3/2021;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;6;5;5;12;16;3;3;3;2;2;3;5;7;8;8;28
11;1;257;E;105;04/02/2020;03/05/2021;11;1; ;31.08.2020;8/31/2020;4;2/4/2020;5/3/2021;1;2; ; ;1; ;1; ; ;1; ; ;1; ; ; ; ; ;1; ;6;5;5;12;16;3;3;3;2;2;3;5;7;8;8;28
11;1;258;T;106;03/05/2019;03/05/2021;11;1; ;31.08.2020;8/31/2020;4;5/3/2019;5/3/2021;2;2; ; ;1; ; ;1; ;1; ; ; ; ; ;1; ; ; ;1;6;5;5;12;16;3;3;3;2;2;3;5;7;8;8;28
11;1;257;E;106;04/02/2020;03/05/2021;11;1; ;31.08.2020;8/31/2020;4;2/4/2020;5/3/2021;1;2; ; ;1; ;1; ; ;1; ; ; ;1; ; ; ; ; ;1;6;5;5;12;16;3;3;3;2;2;3;5;7;8;8;28
11;1;257;T;106;03/05/2019;03/05/2021;11;1; ;31.08.2020;8/31/2020;3;5/3/2019;5/3/2021;2;2; ; ;1; ; ;1; ;1; ; ; ; ; ;1; ; ; ;1;6;5;5;12;16;3;3;3;2;2;3;5;7;8;8;28
11;1;257;T;105;03/05/2019;03/05/2021;11;1; ;31.08.2020;8/31/2020;4;5/3/2019;5/3/2021;2;2; ; ;1; ; ;1; ;1; ; ; ; ;1; ; ; ;1; ;6;5;5;12;16;3;3;3;2;2;3;5;7;8;8;28
11;1;257;GO;105;03/05/2019;05/05/2021;11;1; ;31.08.2020;8/31/2020;4;5/3/2019;5/5/2021;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;6;5;5;12;16;3;3;3;2;2;3;5;7;8;8;28
11;2;255;O;106;03/05/2019;03/05/2021;11;1; ;31.08.2020;8/31/2020;3;5/3/2019;5/3/2021;2;1; ;1; ;1; ; ; ;1; ;1; ; ; ; ; ; ; ;1;6;5;5;12;16;3;3;3;2;2;3;5;7;8;8;28
11;1;260;GA;106;03/05/2019;05/05/2021;11;1; ;31.08.2020;8/31/2020;3;5/3/2019;5/5/2021;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;6;5;5;12;16;3;3;3;2;2;3;5;7;8;8;28
11;1;257;GA;105;03/05/2019;05/05/2021;11;1; ;31.08.2020;8/31/2020;3;5/3/2019;5/5/2021;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;6;5;5;12;16;3;3;3;2;2;3;5;7;8;8;28
11;1;257;O;105;03/05/2020;03/05/2021;11;1; ;31.08.2020;8/31/2020;3;5/3/2020;5/3/2021;1;2; ; ;1;1; ; ; ;1;1; ; ; ; ; ; ; ;1; ;6;5;5;12;16;3;3;3;2;2;3;5;7;8;8;28
11;2;257;GO;106;28/04/2020;03/05/2021;11;1; ;31.08.2020;8/31/2020;3;4/28/2020;5/3/2021;1;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;6;5;5;12;16;3;3;3;2;2;3;5;7;8;8;28
11;1;255;E;106;03/05/2019;05/05/2021;11;1; ;31.08.2020;8/31/2020;3;5/3/2019;5/5/2021;2;1; ;1; ; ;1; ; ;1; ; ; ;1; ; ; ; ; ;1;6;5;5;12;16;3;3;3;2;2;3;5;7;8;8;28
11;2;255;O;106;03/05/2020;05/05/2021;11;1; ;31.08.2020;8/31/2020;2;5/3/2020;5/5/2021;1;1; ;1; ;1; ; ; ;1; ;1; ; ; ; ; ; ; ;1;6;5;5;12;16;3;3;3;2;2;3;5;7;8;8;28
11;2;257;GO;106;03/05/2019;05/05/2021;11;1; ;31.08.2020;8/31/2020;2;5/3/2019;5/5/2021;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;6;5;5;12;16;3;3;3;2;2;3;5;7;8;8;28
11;1;257;T;106;05/03/2020;03/05/2021;11;1; ;31.08.2020;8/31/2020;2;3/5/2020;5/3/2021;1;2; ; ;1; ; ;1; ;1; ; ; ; ; ;1; ; ; ;1;6;5;5;12;16;3;3;3;2;2;3;5;7;8;8;28
11;1;255;GO;106;17/08/2020;03/05/2021;11;1; ;31.08.2020;8/31/2020;2;8/17/2020;5/3/2021;1;1; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;6;5;5;12;16;3;3;3;2;2;3;5;7;8;8;28
11;1;257;GS;106;03/05/2019;03/05/2021;11;1; ;31.08.2020;8/31/2020;2;5/3/2019;5/3/2021;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;6;5;5;12;16;3;3;3;2;2;3;5;7;8;8;28
11;1;255;GO;105;03/05/2020;03/05/2021;11;1; ;31.08.2020;8/31/2020;2;5/3/2020;5/3/2021;1;1; ;1; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;6;5;5;12;16;3;3;3;2;2;3;5;7;8;8;28
11;2;256;U;106;03/05/2019;05/05/2021;11;1; ;31.08.2020;8/31/2020;2;5/3/2019;5/5/2021;2;1; ;1; ;1; ; ; ;1; ;1; ; ; ; ; ; ; ;1;6;5;5;12;16;3;3;3;2;2;3;5;7;8;8;28
12;1;257;E;105;02/10/2020;02/10/2022;12;1; ;31.08.2020;8/31/2020;2;10/2/2020;10/2/2022;2;2; ; ;1; ;1; ; ;1; ; ;1; ; ; ; ; ;1; ;6;5;4;16;15;3;3;3;2;3;1;8;8;9;6;31
12;1;257;GO;105;02/10/2020;02/10/2022;12;1; ;31.08.2020;8/31/2020;1;10/2/2020;10/2/2022;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;6;5;4;16;15;3;3;3;2;3;1;8;8;9;6;31
12;2;256;GO;106;02/10/2020;02/10/2022;12;1; ;31.08.2020;8/31/2020;1;10/2/2020;10/2/2022;2;1; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;6;5;4;16;15;3;3;3;2;3;1;8;8;9;6;31
12;2;257;T;308;02/10/2020;02/10/2022;12;1; ;31.08.2020;8/31/2020;1;10/2/2020;10/2/2022;2;2; ; ;1; ; ;1; ;1; ; ; ; ;1; ; ; ;1; ;6;5;4;16;15;3;3;3;2;3;1;8;8;9;6;31
12;2;260;GO;105;02/10/2020;02/10/2022;12;1; ;31.08.2020;8/31/2020;5;10/2/2020;10/2/2022;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;6;5;4;16;15;3;3;3;2;3;1;8;8;9;6;31
12;1;254;U;105;02/10/2020;02/10/2022;12;1; ;31.08.2020;8/31/2020;1;10/2/2020;10/2/2022;2;0;1; ; ;1; ; ; ;1;1; ; ; ; ; ; ; ;1; ;6;5;4;16;15;3;3;3;2;3;1;8;8;9;6;31
12;1;255;U;106;02/10/2020;02/10/2022;12;1; ;31.08.2020;8/31/2020;1;10/2/2020;10/2/2022;2;1; ;1; ;1; ; ; ;1; ;1; ; ; ; ; ; ; ;1;6;5;4;16;15;3;3;3;2;3;1;8;8;9;6;31
12;1;255;U;106;02/10/2020;02/10/2022;12;1; ;31.08.2020;8/31/2020;5;10/2/2020;10/2/2022;2;1; ;1; ;1; ; ; ;1; ;1; ; ; ; ; ; ; ;1;6;5;4;16;15;3;3;3;2;3;1;8;8;9;6;31
12;2;257;GO;106;02/10/2020;02/10/2022;12;1; ;31.08.2020;8/31/2020;4;10/2/2020;10/2/2022;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;6;5;4;16;15;3;3;3;2;3;1;8;8;9;6;31
12;1;257;E;105;02/10/2020;02/10/2022;12;1; ;31.08.2020;8/31/2020;4;10/2/2020;10/2/2022;2;2; ; ;1; ;1; ; ;1; ; ;1; ; ; ; ; ;1; ;6;5;4;16;15;3;3;3;2;3;1;8;8;9;6;31
12;1;257;GO;105;02/10/2020;02/10/2022;12;1; ;31.08.2020;8/31/2020;4;10/2/2020;10/2/2022;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;6;5;4;16;15;3;3;3;2;3;1;8;8;9;6;31
12;1;255;U;105;02/10/2020;02/10/2022;12;1; ;31.08.2020;8/31/2020;3;10/2/2020;10/2/2022;2;1; ;1; ;1; ; ; ;1;1; ; ; ; ; ; ; ;1; ;6;5;4;16;15;3;3;3;2;3;1;8;8;9;6;31
12;1;257;GO;105;02/10/2020;02/10/2022;12;1; ;31.08.2020;8/31/2020;3;10/2/2020;10/2/2022;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;6;5;4;16;15;3;3;3;2;3;1;8;8;9;6;31
12;1;257;GO;105;02/10/2020;02/10/2022;12;1; ;31.08.2020;8/31/2020;3;10/2/2020;10/2/2022;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;6;5;4;16;15;3;3;3;2;3;1;8;8;9;6;31
12;1;258;GA;20;02/10/2020;02/10/2022;12;1; ;31.08.2020;8/31/2020;3;10/2/2020;10/2/2022;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;6;5;4;16;15;3;3;3;2;3;1;8;8;9;6;31
12;1;258;GE;105;02/10/2020;02/10/2022;12;1; ;31.08.2020;8/31/2020;3;10/2/2020;10/2/2022;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;6;5;4;16;15;3;3;3;2;3;1;8;8;9;6;31
12;1;257;T;105;02/10/2020;02/10/2022;12;1; ;31.08.2020;8/31/2020;3;10/2/2020;10/2/2022;2;2; ; ;1; ; ;1; ;1; ; ; ; ;1; ; ; ;1; ;6;5;4;16;15;3;3;3;2;3;1;8;8;9;6;31
12;2;257;GO;106;02/10/2020;02/10/2022;12;1; ;31.08.2020;8/31/2020;3;10/2/2020;10/2/2022;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;6;5;4;16;15;3;3;3;2;3;1;8;8;9;6;31
12;2;257;E;106;02/10/2020;02/10/2022;12;1; ;31.08.2020;8/31/2020;3;10/2/2020;10/2/2022;2;2; ; ;1; ;1; ; ;1; ; ; ;1; ; ; ; ; ;1;6;5;4;16;15;3;3;3;2;3;1;8;8;9;6;31
12;2;257;T;106;02/10/2020;02/10/2022;12;1; ;31.08.2020;8/31/2020;1;10/2/2020;10/2/2022;2;2; ; ;1; ; ;1; ;1; ; ; ; ; ;1; ; ; ;1;6;5;4;16;15;3;3;3;2;3;1;8;8;9;6;31
12;1;258;GE;106;02/10/2020;02/10/2022;12;1; ;31.08.2020;8/31/2020;3;10/2/2020;10/2/2022;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;6;5;4;16;15;3;3;3;2;3;1;8;8;9;6;31
12;1;257;GO;106;02/10/2020;02/10/2022;12;1; ;31.08.2020;8/31/2020;4;10/2/2020;10/2/2022;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;6;5;4;16;15;3;3;3;2;3;1;8;8;9;6;31
12;2;257;E;106;02/10/2020;02/10/2022;12;1; ;31.08.2020;8/31/2020;2;10/2/2020;10/2/2022;2;2; ; ;1; ;1; ; ;1; ; ; ;1; ; ; ; ; ;1;6;5;4;16;15;3;3;3;2;3;1;8;8;9;6;31
12;1;256;U;106;02/10/2020;02/10/2022;12;1; ;31.08.2020;8/31/2020;2;10/2/2020;10/2/2022;2;1; ;1; ;1; ; ; ;1; ;1; ; ; ; ; ; ; ;1;6;5;4;16;15;3;3;3;2;3;1;8;8;9;6;31
12;1;258;E;105;02/10/2020;02/10/2022;12;1; ;31.08.2020;8/31/2020;2;10/2/2020;10/2/2022;2;2; ; ;1; ;1; ; ;1; ; ;1; ; ; ; ; ;1; ;6;5;4;16;15;3;3;3;2;3;1;8;8;9;6;31
12;1;257;GO;106;02/10/2020;02/10/2022;12;1; ;31.08.2020;8/31/2020;2;10/2/2020;10/2/2022;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;6;5;4;16;15;3;3;3;2;3;1;8;8;9;6;31
12;2;256;T;105;02/10/2020;02/10/2022;12;1; ;31.08.2020;8/31/2020;2;10/2/2020;10/2/2022;2;1; ;1; ; ; ;1; ;1; ; ; ; ;1; ; ; ;1; ;6;5;4;16;15;3;3;3;2;3;1;8;8;9;6;31
12;1;257;GS;105;02/10/2020;02/10/2022;12;1; ;31.08.2020;8/31/2020;2;10/2/2020;10/2/2022;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;6;5;4;16;15;3;3;3;2;3;1;8;8;9;6;31
12;2;257;GA;106;02/10/2020;02/10/2022;12;1; ;31.08.2020;8/31/2020;2;10/2/2020;10/2/2022;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;6;5;4;16;15;3;3;3;2;3;1;8;8;9;6;31
12;1;256;U;105;02/10/2020;02/10/2022;12;1; ;31.08.2020;8/31/2020;2;10/2/2020;10/2/2022;2;1; ;1; ;1; ; ; ;1;1; ; ; ; ; ; ; ;1; ;6;5;4;16;15;3;3;3;2;3;1;8;8;9;6;31
12;1;257;GS;106;02/10/2020;02/10/2022;12;1; ;31.08.2020;8/31/2020;2;10/2/2020;10/2/2022;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;6;5;4;16;15;3;3;3;2;3;1;8;8;9;6;31
13;2;260;U;105;27/03/2019;27/03/2021;13;1; ;31.08.2020;8/31/2020;1;3/27/2019;3/27/2021;2;2; ; ;1;1; ; ; ;1;1; ; ; ; ; ; ; ;1; ;5;7;6;17;18;3;2;3;4;3;3;9;8;9;9;35
13;2;255;E;106;27/03/2019;27/03/2021;13;1; ;31.08.2020;8/31/2020;5;3/27/2019;3/27/2021;2;1; ;1; ; ;1; ; ;1; ; ; ;1; ; ; ; ; ;1;5;7;6;17;18;3;2;3;4;3;3;9;8;9;9;35
13;1;257;GO;106;27/03/2019;27/03/2021;13;1; ;31.08.2020;8/31/2020;1;3/27/2019;3/27/2021;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;5;7;6;17;18;3;2;3;4;3;3;9;8;9;9;35
13;2;255;E;106;27/03/2019;27/03/2021;13;1; ;31.08.2020;8/31/2020;5;3/27/2019;3/27/2021;2;1; ;1; ; ;1; ; ;1; ; ; ;1; ; ; ; ; ;1;5;7;6;17;18;3;2;3;4;3;3;9;8;9;9;35
13;2;257;E;20;27/03/2019;27/03/2021;13;1; ;31.08.2020;8/31/2020;5;3/27/2019;3/27/2021;2;2; ; ;1; ;1; ; ;1; ; ;1; ; ; ; ; ;1; ;5;7;6;17;18;3;2;3;4;3;3;9;8;9;9;35
13;1;257;T;106;27/03/2019;27/03/2021;13;1; ;31.08.2020;8/31/2020;4;3/27/2019;3/27/2021;2;2; ; ;1; ; ;1; ;1; ; ; ; ; ;1; ; ; ;1;5;7;6;17;18;3;2;3;4;3;3;9;8;9;9;35
13;1;257;GA;105;27/03/2019;27/03/2021;13;1; ;31.08.2020;8/31/2020;3;3/27/2019;3/27/2021;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;5;7;6;17;18;3;2;3;4;3;3;9;8;9;9;35
13;1;257;U;106;27/03/2019;27/03/2021;13;1; ;31.08.2020;8/31/2020;4;3/27/2019;3/27/2021;2;2; ; ;1;1; ; ; ;1; ;1; ; ; ; ; ; ; ;1;5;7;6;17;18;3;2;3;4;3;3;9;8;9;9;35
13;1;257;GO;105;27/03/2019;27/03/2021;13;1; ;31.08.2020;8/31/2020;4;3/27/2019;3/27/2021;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;5;7;6;17;18;3;2;3;4;3;3;9;8;9;9;35
13;1;258;E;105;27/03/2019;27/03/2021;13;1; ;31.08.2020;8/31/2020;4;3/27/2019;3/27/2021;2;2; ; ;1; ;1; ; ;1; ; ;1; ; ; ; ; ;1; ;5;7;6;17;18;3;2;3;4;3;3;9;8;9;9;35
13;1;257;GA;105;27/03/2019;27/03/2021;13;1; ;31.08.2020;8/31/2020;3;3/27/2019;3/27/2021;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;5;7;6;17;18;3;2;3;4;3;3;9;8;9;9;35
13;1;257;O;105;27/03/2019;27/03/2021;13;1; ;31.08.2020;8/31/2020;3;3/27/2019;3/27/2021;2;2; ; ;1;1; ; ; ;1;1; ; ; ; ; ; ; ;1; ;5;7;6;17;18;3;2;3;4;3;3;9;8;9;9;35
13;1;258;E;106;27/03/2019;27/03/2021;13;1; ;31.08.2020;8/31/2020;3;3/27/2019;3/27/2021;2;2; ; ;1; ;1; ; ;1; ; ; ;1; ; ; ; ; ;1;5;7;6;17;18;3;2;3;4;3;3;9;8;9;9;35
13;1;257;GO;105;27/03/2019;27/03/2021;13;1; ;31.08.2020;8/31/2020;3;3/27/2019;3/27/2021;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;5;7;6;17;18;3;2;3;4;3;3;9;8;9;9;35
13;1;258;GS;106;27/03/2019;27/03/2021;13;1; ;31.08.2020;8/31/2020;4;3/27/2019;3/27/2021;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;5;7;6;17;18;3;2;3;4;3;3;9;8;9;9;35
13;1;261;T;106;27/03/2019;27/03/2021;13;1; ;31.08.2020;8/31/2020;3;3/27/2019;3/27/2021;2;2; ; ;1; ; ;1; ;1; ; ; ; ; ;1; ; ; ;1;5;7;6;17;18;3;2;3;4;3;3;9;8;9;9;35
13;1;257;GO;106;27/03/2019;27/03/2021;13;1; ;31.08.2020;8/31/2020;3;3/27/2019;3/27/2021;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;5;7;6;17;18;3;2;3;4;3;3;9;8;9;9;35
13;1;258;E;105;27/03/2019;27/03/2021;13;1; ;31.08.2020;8/31/2020;3;3/27/2019;3/27/2021;2;2; ; ;1; ;1; ; ;1; ; ;1; ; ; ; ; ;1; ;5;7;6;17;18;3;2;3;4;3;3;9;8;9;9;35
13;1;257;GO;105;27/03/2019;27/03/2021;13;1; ;31.08.2020;8/31/2020;2;3/27/2019;3/27/2021;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;5;7;6;17;18;3;2;3;4;3;3;9;8;9;9;35
13;2;258;E;106;27/03/2019;27/03/2021;13;1; ;31.08.2020;8/31/2020;3;3/27/2019;3/27/2021;2;2; ; ;1; ;1; ; ;1; ; ; ;1; ; ; ; ; ;1;5;7;6;17;18;3;2;3;4;3;3;9;8;9;9;35
13;2;258;GA;106;27/03/2019;27/03/2021;13;1; ;31.08.2020;8/31/2020;3;3/27/2019;3/27/2021;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;5;7;6;17;18;3;2;3;4;3;3;9;8;9;9;35
13;2;258;GO;308;27/03/2019;27/03/2021;13;1; ;31.08.2020;8/31/2020;2;3/27/2019;3/27/2021;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;5;7;6;17;18;3;2;3;4;3;3;9;8;9;9;35
13;1;258;GS;105;27/03/2019;27/03/2021;13;1; ;31.08.2020;8/31/2020;2;3/27/2019;3/27/2021;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;5;7;6;17;18;3;2;3;4;3;3;9;8;9;9;35
13;2;258;GO;105;27/03/2019;27/03/2021;13;1; ;31.08.2020;8/31/2020;3;3/27/2019;3/27/2021;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;5;7;6;17;18;3;2;3;4;3;3;9;8;9;9;35
13;1;258;GA;106;27/03/2019;27/03/2021;13;1; ;31.08.2020;8/31/2020;3;3/27/2019;3/27/2021;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;5;7;6;17;18;3;2;3;4;3;3;9;8;9;9;35
13;1;257;T;105;27/03/2019;27/03/2021;13;1; ;31.08.2020;8/31/2020;2;3/27/2019;3/27/2021;2;2; ; ;1; ; ;1; ;1; ; ; ; ;1; ; ; ;1; ;5;7;6;17;18;3;2;3;4;3;3;9;8;9;9;35
13;1;257;GO;106;27/03/2019;27/03/2021;13;1; ;31.08.2020;8/31/2020;3;3/27/2019;3/27/2021;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;5;7;6;17;18;3;2;3;4;3;3;9;8;9;9;35
13;1;258;T;105;27/03/2019;27/03/2021;13;1; ;31.08.2020;8/31/2020;2;3/27/2019;3/27/2021;2;2; ; ;1; ; ;1; ;1; ; ; ; ;1; ; ; ;1; ;5;7;6;17;18;3;2;3;4;3;3;9;8;9;9;35
13;1;255;O;105;27/03/2019;27/03/2021;13;1; ;31.08.2020;8/31/2020;3;3/27/2019;3/27/2021;2;1; ;1; ;1; ; ; ;1;1; ; ; ; ; ; ; ;1; ;5;7;6;17;18;3;2;3;4;3;3;9;8;9;9;35
13;1;258;GE;105;27/03/2019;27/03/2021;13;1; ;31.08.2020;8/31/2020;2;3/27/2019;3/27/2021;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;5;7;6;17;18;3;2;3;4;3;3;9;8;9;9;35
13;1;256;U;106;27/03/2019;27/03/2021;13;1; ;31.08.2020;8/31/2020;2;3/27/2019;3/27/2021;2;1; ;1; ;1; ; ; ;1; ;1; ; ; ; ; ; ; ;1;5;7;6;17;18;3;2;3;4;3;3;9;8;9;9;35
13;1;258;T;106;27/03/2019;27/03/2021;13;1; ;31.08.2020;8/31/2020;2;3/27/2019;3/27/2021;2;2; ; ;1; ; ;1; ;1; ; ; ; ; ;1; ; ; ;1;5;7;6;17;18;3;2;3;4;3;3;9;8;9;9;35
13;2;257;GO;106;27/03/2019;27/03/2021;13;1; ;31.08.2020;8/31/2020;4;3/27/2019;3/27/2021;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;5;7;6;17;18;3;2;3;4;3;3;9;8;9;9;35
13;1;257;T;105;27/03/2019;27/03/2021;13;1; ;31.08.2020;8/31/2020;2;3/27/2019;3/27/2021;2;2; ; ;1; ; ;1; ;1; ; ; ; ;1; ; ; ;1; ;5;7;6;17;18;3;2;3;4;3;3;9;8;9;9;35
13;1;257;GO;106;27/03/2019;27/03/2021;13;1; ;31.08.2020;8/31/2020;1;3/27/2019;3/27/2021;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;5;7;6;17;18;3;2;3;4;3;3;9;8;9;9;35
14;1;257;T;105;20/02/2020;19/02/2022;14;1; ;31.08.2020;8/31/2020;2;2/20/2020;2/19/2022;2;2; ; ;1; ; ;1; ;1; ; ; ; ;1; ; ; ;1; ;4;4;3;11;11;2;2;2;2;2;1;6;5;6;5;22
14;1;257;T;106;20/02/2020;19/02/2022;14;1; ;31.08.2020;8/31/2020;1;2/20/2020;2/19/2022;2;2; ; ;1; ; ;1; ;1; ; ; ; ; ;1; ; ; ;1;4;4;3;11;11;2;2;2;2;2;1;6;5;6;5;22
14;2;257;GO;106;23/07/2020;22/07/2022;14;1; ;31.08.2020;8/31/2020;5;7/23/2020;7/22/2022;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;4;4;3;11;11;2;2;2;2;2;1;6;5;6;5;22
14;1;258;GO;105;11/04/2019;10/04/2021;14;1; ;31.08.2020;8/31/2020;2;4/11/2019;4/10/2021;2;2; ; ;1; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;4;4;3;11;11;2;2;2;2;2;1;6;5;6;5;22
14;1;257;E;105;17/06/2020;18/12/2020;14;1; ;31.08.2020;8/31/2020;5;6/17/2020;12/18/2020;1;2; ; ;1; ;1; ; ;1; ; ;1; ; ; ; ; ;1; ;4;4;3;11;11;2;2;2;2;2;1;6;5;6;5;22
